Tipo,ID,Fecha,Monto,Categoría,Descripción
Egreso,30383011.0,2024-11-12,2000,Alquiler,Pago mensual de alquiler de departamento
Egreso,30383011.0,2024-11-12,150,Comida,Compra en supermercado
Ingreso,30383011.0,2024-11-13,4500,Salario,Pago mensual de salario
Egreso,30383011.0,2024-11-14,100,Transporte,Recarga de tarjeta de transporte público
Egreso,30383011.0,2024-11-14,60,Entretenimiento,Entrada al cine
Egreso,30383011.0,2024-11-15,350,Salud,Consulta médica especializada
Ingreso,30383011.0,2024-11-16,1500,Freelance,Trabajo como consultor en proyecto web
Egreso,30383011.0,2024-11-17,200,Ropa,Compra de prendas en tienda local
Egreso,30383011.0,2024-11-18,120,Educación,Cursos en línea de marketing digital
Ingreso,30383011.0,2024-11-19,5000,Salario,Pago de salario mensual
Egreso,30383011.0,2024-11-19,90,Comida,Desayuno en restaurante
Egreso,30383011.0,2024-11-20,600,Servicios,Factura de internet y teléfono móvil
Egreso,30383011.0,2024-11-21,250,Transporte,Pago de transporte en taxi
Ingreso,30383011.0,2024-11-21,2000,Freelance,Trabajo como diseñador gráfico en freelance
Egreso,30383011.0,2024-11-22,350,Entretenimiento,Entradas para un espectáculo en vivo
Egreso,30383011.0,2024-11-22,180,Comida,Almuerzo en restaurante local
